gene_id	R1	R2	R3	R4	R5	R6	R7	R8	R9
ENSG00000117308	1702	2618	2947	3303	2241	0	1481	3188	2615
ENSG00000117305	1088	828	847	1481	1342	0	570	999	739
ENSG00000179163	214	286	182	404	342	0	374	386	218
ENSG00000188822	0	0	0	0	0	0	0	0	0
ENSG00000264926	0	0	0	0	0	0	0	0	0
ENSG00000189266	5223	6606	7079	10031	8221	0	4967	8247	5797
ENSG00000188529	5672	13003	13818	14468	10290	0	7081	15525	11204
ENSG00000142661	0	0	0	0	0	0	8	0	2
ENSG00000142677	4	0	0	0	0	0	0	0	0
ENSG00000185436	570	114	132	754	415	0	143	366	357
ENSG00000158055	8	4	4	8	5	0	14	1	2
ENSG00000001460	165	314	314	414	360	0	86	246	185
ENSG00000001461	1615	2295	2073	3408	2655	0	1694	2130	1541
ENSG00000117602	3187	3020	3257	5132	4341	0	1590	2688	1977
ENSG00000184454	2	0	0	16	4	0	0	2	0
ENSG00000133226	5987	6625	7833	10251	8642	0	4162	8904	5965
ENSG00000169504	2988	4388	4481	6904	6458	0	6705	8630	6744
ENSG00000238482	0	0	0	0	0	0	0	0	0
ENSG00000020633	25926	38087	37855	49104	54869	0	32705	46103	32763
ENSG00000278034	0	3	4	4	4	0	1	5	0
ENSG00000264371	0	0	3	0	2	0	0	0	1
ENSG00000117614	3640	2944	3172	4305	4981	0	2123	3935	2610
ENSG00000117616	1813	1875	2230	3637	3084	0	1335	2275	1626
ENSG00000187010	18	11	7	39	24	0	19	11	9
ENSG00000183726	2857	4695	4704	6632	5532	0	3625	6359	4340
ENSG00000188672	32	18	43	20	23	0	15	33	12
ENSG00000157978	211	52	134	461	302	0	64	214	136
ENSG00000117643	179	288	306	444	371	0	199	236	156
ENSG00000117640	620	433	522	764	736	0	303	477	378
ENSG00000127423	78	270	355	444	267	0	88	416	312
ENSG00000182749	162	118	153	349	228	0	77	221	126
ENSG00000117632	7436	17858	18656	24688	16350	0	7737	24564	15761
ENSG00000158006	368	296	340	426	511	0	262	550	373
ENSG00000207237	0	0	0	0	0	0	0	0	0
ENSG00000267322	0	0	0	0	0	0	0	0	0
ENSG00000238835	0	4	2	1	0	0	2	0	0
ENSG00000158008	0	0	0	2	0	0	0	0	0
ENSG00000158014	0	2	0	0	2	0	12	4	12
ENSG00000158022	3	1	0	6	8	0	0	0	0
ENSG00000175087	378	702	707	1254	968	0	358	1239	733
ENSG00000197245	0	4	2	14	0	0	0	0	2
ENSG00000142684	0	4	3	1	1	0	0	5	1
ENSG00000142675	54	71	142	80	63	0	65	66	53
ENSG00000188782	0	0	0	4	0	0	2	0	2
ENSG00000130695	1175	2519	2968	4503	2626	0	1255	4156	3045
ENSG00000142669	5232	9942	9257	11804	9533	0	10137	11177	8474
ENSG00000158062	407	875	928	1108	873	0	1490	1250	904
ENSG00000169442	2226	2901	2065	3803	3630	0	5766	3324	1824
ENSG00000176083	1	0	0	5	0	0	4	7	0
ENSG00000131914	0	2	0	0	4	0	0	0	0
ENSG00000117682	2953	2718	2850	4862	4523	0	1322	4137	3026
ENSG00000198830	10152	28304	30584	32355	25133	0	13061	45385	33890
ENSG00000117676	4635	8238	7973	9689	8451	0	8521	10648	7901
ENSG00000238705	0	0	0	0	0	0	0	0	0
ENSG00000243905	0	0	0	0	0	0	0	0	0
ENSG00000117713	5168	8801	10392	12054	9351	0	4833	10764	7835
